year,stage,origin,destination,origin_lat,origin_lon,destination_lat,destination_lon,winner,name,name_full,nationality,stage_wins,time_margin,time_overall
2000,1,Futuroscope,Futuroscope,46.6698573,0.3697581,46.6698573,0.3697581, Millar,Lance Armstrong,Winner: Lance Armstrong (United States), United States,Stage Wins: 1,Winning Margin: 0.1 hours,Overall Time: 92.6 hours
2000,2,Futuroscope,Loudun,46.6698573,0.3697581,47.0089674,0.083182999999999993, Steels,Lance Armstrong,Winner: Lance Armstrong (United States), United States,Stage Wins: 1,Winning Margin: 0.1 hours,Overall Time: 92.6 hours
2000,3,Loudun,Nantes,47.0089674,0.083182999999999993,47.218371,-1.553621, Steels,Lance Armstrong,Winner: Lance Armstrong (United States), United States,Stage Wins: 1,Winning Margin: 0.1 hours,Overall Time: 92.6 hours
2000,4,Nantes,Saint-Nazaire,47.218371,-1.553621,47.2734979,-2.213848, Bank,Lance Armstrong,Winner: Lance Armstrong (United States), United States,Stage Wins: 1,Winning Margin: 0.1 hours,Overall Time: 92.6 hours
2000,5,Vannes,Vitré,47.658236,-2.760847,48.12474599999999,-1.21543, Wüst,Lance Armstrong,Winner: Lance Armstrong (United States), United States,Stage Wins: 1,Winning Margin: 0.1 hours,Overall Time: 92.6 hours
2000,6,Vitré,Tours,48.12474599999999,-1.21543,47.394144,0.68484, van Bon,Lance Armstrong,Winner: Lance Armstrong (United States), United States,Stage Wins: 1,Winning Margin: 0.1 hours,Overall Time: 92.6 hours
2000,7,Tours,Limoges,47.394144,0.68484,45.83361900000001,1.261105, Agnolutto,Lance Armstrong,Winner: Lance Armstrong (United States), United States,Stage Wins: 1,Winning Margin: 0.1 hours,Overall Time: 92.6 hours
2000,8,Limoges,Villeneuve-sur-Lot,45.83361900000001,1.261105,44.4082053,0.7072568, Dekker,Lance Armstrong,Winner: Lance Armstrong (United States), United States,Stage Wins: 1,Winning Margin: 0.1 hours,Overall Time: 92.6 hours
2000,9,Agen,Dax,44.203142,0.616363,43.7281981,-1.0773887, Bettini,Lance Armstrong,Winner: Lance Armstrong (United States), United States,Stage Wins: 1,Winning Margin: 0.1 hours,Overall Time: 92.6 hours
2000,10,Dax,Hautacam,43.7281981,-1.0773887,42.9721489,-0.0074672, Otxoa,Lance Armstrong,Winner: Lance Armstrong (United States), United States,Stage Wins: 1,Winning Margin: 0.1 hours,Overall Time: 92.6 hours
2000,11,Bagnères-de-Bigorre,Revel,43.065093,0.1491049,43.458611,2.004573, Dekker,Lance Armstrong,Winner: Lance Armstrong (United States), United States,Stage Wins: 1,Winning Margin: 0.1 hours,Overall Time: 92.6 hours
2000,12,Carpentras,Mont Ventoux,44.0555639,5.048722,44.1740851,5.2786797, Pantani,Lance Armstrong,Winner: Lance Armstrong (United States), United States,Stage Wins: 1,Winning Margin: 0.1 hours,Overall Time: 92.6 hours
2000,13,Avignon,Draguignan,43.94931700000001,4.805528,43.5377269,6.464993, Vicente Garcia,Lance Armstrong,Winner: Lance Armstrong (United States), United States,Stage Wins: 1,Winning Margin: 0.1 hours,Overall Time: 92.6 hours
2000,14,Draguignan,Briançon,43.5377269,6.464993,44.899416,6.643179, Botero,Lance Armstrong,Winner: Lance Armstrong (United States), United States,Stage Wins: 1,Winning Margin: 0.1 hours,Overall Time: 92.6 hours
2000,15,Briançon,Courchevel,44.899416,6.643179,45.414659,6.63469, Pantani,Lance Armstrong,Winner: Lance Armstrong (United States), United States,Stage Wins: 1,Winning Margin: 0.1 hours,Overall Time: 92.6 hours
2000,16,Courchevel,Morzine,45.414659,6.63469,46.179192,6.708877, Virenque,Lance Armstrong,Winner: Lance Armstrong (United States), United States,Stage Wins: 1,Winning Margin: 0.1 hours,Overall Time: 92.6 hours
2000,17,Évian-les-Bains,Lausanne,46.401488,6.590948999999999,46.5196535,6.6322734, Dekker,Lance Armstrong,Winner: Lance Armstrong (United States), United States,Stage Wins: 1,Winning Margin: 0.1 hours,Overall Time: 92.6 hours
2000,18,Lausanne,Freiburg,46.5196535,6.6322734,47.9990077,7.842104299999999, Commesso,Lance Armstrong,Winner: Lance Armstrong (United States), United States,Stage Wins: 1,Winning Margin: 0.1 hours,Overall Time: 92.6 hours
2000,19,Freiburg,Mulhouse,47.9990077,7.842104299999999,47.750839,7.335888, Armstrong[n 1],Lance Armstrong,Winner: Lance Armstrong (United States), United States,Stage Wins: 1,Winning Margin: 0.1 hours,Overall Time: 92.6 hours
2000,20,Belfort,Troyes,47.63967400000001,6.863849,48.2973451,4.0744009, Zabel,Lance Armstrong,Winner: Lance Armstrong (United States), United States,Stage Wins: 1,Winning Margin: 0.1 hours,Overall Time: 92.6 hours
2000,21,Paris,Paris,48.856614,2.3522219,48.856614,2.3522219, Zanini,Lance Armstrong,Winner: Lance Armstrong (United States), United States,Stage Wins: 1,Winning Margin: 0.1 hours,Overall Time: 92.6 hours
2001,1,Saint-Omer,Boulogne-sur-Mer,50.750115,2.252208,50.725231,1.613334, Zabel,Lance Armstrong,Winner: Lance Armstrong (United States), United States,Stage Wins: 4,Winning Margin: 0.1 hours,Overall Time: 86.3 hours
2001,2,Calais,Antwerp,50.95129000000001,1.858686,51.2194475,4.4024643, Wauters,Lance Armstrong,Winner: Lance Armstrong (United States), United States,Stage Wins: 4,Winning Margin: 0.1 hours,Overall Time: 86.3 hours
2001,3,Antwerp,Seraing,51.2194475,4.4024643,50.5838832,5.4996296, Zabel,Lance Armstrong,Winner: Lance Armstrong (United States), United States,Stage Wins: 4,Winning Margin: 0.1 hours,Overall Time: 86.3 hours
2001,4,Huy,Verdun,50.5187153,5.239665599999999,49.15987639999999,5.3844231, Jalabert,Lance Armstrong,Winner: Lance Armstrong (United States), United States,Stage Wins: 4,Winning Margin: 0.1 hours,Overall Time: 86.3 hours
2001,5,Verdun,Bar-le-Duc,49.15987639999999,5.3844231,48.773605,5.158238000000001, Agricole,Lance Armstrong,Winner: Lance Armstrong (United States), United States,Stage Wins: 4,Winning Margin: 0.1 hours,Overall Time: 86.3 hours
2001,6,Commercy,Strasbourg,48.763802,5.592347999999999,48.5734053,7.752111299999999, Kirsipuu,Lance Armstrong,Winner: Lance Armstrong (United States), United States,Stage Wins: 4,Winning Margin: 0.1 hours,Overall Time: 86.3 hours
2001,7,Strasbourg,Colmar,48.5734053,7.752111299999999,48.0793589,7.358511999999999, Jalabert,Lance Armstrong,Winner: Lance Armstrong (United States), United States,Stage Wins: 4,Winning Margin: 0.1 hours,Overall Time: 86.3 hours
2001,8,Colmar,Pontarlier,48.0793589,7.358511999999999,46.9041039,6.354241999999999, Dekker,Lance Armstrong,Winner: Lance Armstrong (United States), United States,Stage Wins: 4,Winning Margin: 0.1 hours,Overall Time: 86.3 hours
2001,9,Pontarlier,Aix-les-Bains,46.9041039,6.354241999999999,45.692341,5.908998, Ivanov,Lance Armstrong,Winner: Lance Armstrong (United States), United States,Stage Wins: 4,Winning Margin: 0.1 hours,Overall Time: 86.3 hours
2001,10,Aix-les-Bains,Alpe d'Huez,45.692341,5.908998,45.090628100000004,6.0649402, Armstrong[n 1],Lance Armstrong,Winner: Lance Armstrong (United States), United States,Stage Wins: 4,Winning Margin: 0.1 hours,Overall Time: 86.3 hours
2001,11,Grenoble,Chamrousse,45.188529,5.724524,45.125328,5.878680999999999, Armstrong[n 1],Lance Armstrong,Winner: Lance Armstrong (United States), United States,Stage Wins: 4,Winning Margin: 0.1 hours,Overall Time: 86.3 hours
2001,12,Perpignan,Plateau de Bonascre,42.6886591,2.8948332,42.7020274,1.8148386, Cárdenas,Lance Armstrong,Winner: Lance Armstrong (United States), United States,Stage Wins: 4,Winning Margin: 0.1 hours,Overall Time: 86.3 hours
2001,13,Foix,Saint-Lary-Soulan Pla d'Adet,42.964127,1.605232,42.813246,0.294932, Armstrong[n 1],Lance Armstrong,Winner: Lance Armstrong (United States), United States,Stage Wins: 4,Winning Margin: 0.1 hours,Overall Time: 86.3 hours
2001,14,Tarbes,Luz Ardiden,43.23295100000001,0.078082,42.873542,-0.002869, Laiseka,Lance Armstrong,Winner: Lance Armstrong (United States), United States,Stage Wins: 4,Winning Margin: 0.1 hours,Overall Time: 86.3 hours
2001,15,Pau,Lavaur,43.2951,-0.370797,43.699185,1.820699, Verbrugghe,Lance Armstrong,Winner: Lance Armstrong (United States), United States,Stage Wins: 4,Winning Margin: 0.1 hours,Overall Time: 86.3 hours
2001,16,Castelsarrasin,Sarran,44.039889,1.107132,45.408167,1.935675, Voigt,Lance Armstrong,Winner: Lance Armstrong (United States), United States,Stage Wins: 4,Winning Margin: 0.1 hours,Overall Time: 86.3 hours
2001,17,Brive-la-Gaillarde,Montluçon,45.159555,1.533937,46.3415466,2.6019912, Baguet,Lance Armstrong,Winner: Lance Armstrong (United States), United States,Stage Wins: 4,Winning Margin: 0.1 hours,Overall Time: 86.3 hours
2001,18,Montluçon,Saint-Amand-Montrond,46.3415466,2.6019912,46.7254859,2.505604, Armstrong[n 1],Lance Armstrong,Winner: Lance Armstrong (United States), United States,Stage Wins: 4,Winning Margin: 0.1 hours,Overall Time: 86.3 hours
