year,name_full,stage_wins,time_margin,time_overall
1903,Winner: Maurice Garin (France),Stage Wins: 3,Winning Margin: 2.99 hours,Overall Time: 94.6 hours
1904,Winner: Henri Cornet (France),Stage Wins: 1,Winning Margin: 2.27 hours,Overall Time: 96.1 hours
1905,Winner: Louis Trousselier (France),Stage Wins: 5,Winning Margin: NA hours,Overall Time: NA hours
1906,Winner: René Pottier (France),Stage Wins: 5,Winning Margin: NA hours,Overall Time: NA hours
1907,Winner: Lucien Petit-Breton (France),Stage Wins: 2,Winning Margin: NA hours,Overall Time: NA hours
1908,Winner: Lucien Petit-Breton (France),Stage Wins: 5,Winning Margin: NA hours,Overall Time: NA hours
1909,Winner: François Faber (Luxembourg),Stage Wins: 6,Winning Margin: NA hours,Overall Time: NA hours
1910,Winner: Octave Lapize (France),Stage Wins: 4,Winning Margin: NA hours,Overall Time: NA hours
1911,Winner: Gustave Garrigou (France),Stage Wins: 2,Winning Margin: NA hours,Overall Time: NA hours
1912,Winner: Odile Defraye (Belgium),Stage Wins: 3,Winning Margin: NA hours,Overall Time: NA hours
1913,Winner: Philippe Thys (Belgium),Stage Wins: 1,Winning Margin: 0.14 hours,Overall Time: 197.9 hours
1914,Winner: Philippe Thys (Belgium),Stage Wins: 1,Winning Margin: 0.02 hours,Overall Time: 200.5 hours
1919,Winner: Firmin Lambot (Belgium),Stage Wins: 1,Winning Margin: 1.71 hours,Overall Time: 231.1 hours
1920,Winner: Philippe Thys (Belgium),Stage Wins: 4,Winning Margin: 0.97 hours,Overall Time: 228.6 hours
1921,Winner: Léon Scieur (Belgium),Stage Wins: 2,Winning Margin: 0.3 hours,Overall Time: 221.8 hours
1922,Winner: Firmin Lambot (Belgium),Stage Wins: 0,Winning Margin: 0.69 hours,Overall Time: 222.1 hours
1923,Winner: Henri Pélissier (France),Stage Wins: 3,Winning Margin: 0.51 hours,Overall Time: 222.3 hours
1924,Winner: Ottavio Bottecchia (Italy),Stage Wins: 4,Winning Margin: 0.59 hours,Overall Time: 226.3 hours
1925,Winner: Ottavio Bottecchia (Italy),Stage Wins: 4,Winning Margin: 0.92 hours,Overall Time: 219.2 hours
1926,Winner: Lucien Buysse (Belgium),Stage Wins: 2,Winning Margin: 1.37 hours,Overall Time: 238.7 hours
1927,Winner: Nicolas Frantz (Luxembourg),Stage Wins: 3,Winning Margin: 1.81 hours,Overall Time: 198.3 hours
1928,Winner: Nicolas Frantz (Luxembourg),Stage Wins: 5,Winning Margin: 0.85 hours,Overall Time: 192.8 hours
1929,Winner: Maurice De Waele (Belgium),Stage Wins: 1,Winning Margin: 0.75 hours,Overall Time: 186.7 hours
1930,Winner: André Leducq (France),Stage Wins: 2,Winning Margin: 0.24 hours,Overall Time: 172.2 hours
1931,Winner: Antonin Magne (France),Stage Wins: 1,Winning Margin: 0.2 hours,Overall Time: 177.2 hours
1932,Winner: André Leducq (France),Stage Wins: 6,Winning Margin: 0.41 hours,Overall Time: 154.2 hours
1933,Winner: Georges Speicher (France),Stage Wins: 3,Winning Margin: 0.07 hours,Overall Time: 147.9 hours
1934,Winner: Antonin Magne (France),Stage Wins: 3,Winning Margin: 0.46 hours,Overall Time: 147.2 hours
1935,Winner: Romain Maes (Belgium),Stage Wins: 3,Winning Margin: 0.29 hours,Overall Time: 141.4 hours
1936,Winner: Sylvère Maes (Belgium),Stage Wins: 4,Winning Margin: 0.44 hours,Overall Time: 142.8 hours
1937,Winner: Roger Lapébie (France),Stage Wins: 3,Winning Margin: 0.12 hours,Overall Time: 139 hours
1938,Winner: Gino Bartali (Italy),Stage Wins: 2,Winning Margin: 0.3 hours,Overall Time: 148.5 hours
1939,Winner: Sylvère Maes (Belgium),Stage Wins: 2,Winning Margin: 0.51 hours,Overall Time: 132.1 hours
1947,Winner: Jean Robic (France),Stage Wins: 3,Winning Margin: 0.05 hours,Overall Time: 148.2 hours
1948,Winner: Gino Bartali (Italy),Stage Wins: 7,Winning Margin: 0.44 hours,Overall Time: 147.2 hours
1949,Winner: Fausto Coppi (Italy),Stage Wins: 3,Winning Margin: 0.17 hours,Overall Time: 149.7 hours
1950,Winner: Ferdinand Kübler (Switzerland),Stage Wins: 3,Winning Margin: 0.15 hours,Overall Time: 145.6 hours
1951,Winner: Hugo Koblet (Switzerland),Stage Wins: 5,Winning Margin: 0.37 hours,Overall Time: 142.3 hours
1952,Winner: Fausto Coppi (Italy),Stage Wins: 5,Winning Margin: 0.47 hours,Overall Time: 152 hours
1953,Winner: Louison Bobet (France),Stage Wins: 2,Winning Margin: 0.24 hours,Overall Time: 129.4 hours
1954,Winner: Louison Bobet (France),Stage Wins: 3,Winning Margin: 0.25 hours,Overall Time: 140.1 hours
1955,Winner: Louison Bobet (France),Stage Wins: 2,Winning Margin: 0.07 hours,Overall Time: 130.5 hours
1956,Winner: Roger Walkowiak (France),Stage Wins: 0,Winning Margin: 0.02 hours,Overall Time: 124 hours
