k,totss,tot_withinss,betweenss,iter
1,1364,1364.0000000000002,-2.2737367544323206e-13,1
2,1364,564.053529457468,799.946470542532,1
3,1364,484.78080501445385,879.2191949855462,3
4,1364,310.67920421213444,1053.3207957878656,3
5,1364,282.48370916417974,1081.5162908358202,3
6,1364,203.72171562349575,1160.2782843765042,4
7,1364,191.5845889133714,1172.4154110866286,3
8,1364,181.2041180379791,1182.795881962021,3
9,1364,158.86565324912107,1205.1343467508789,3
10,1364,148.9204238560541,1215.0795761439458,4
