date,price_loc,price_usd_actual,price_usd_implied,fx_actual,fx_implied,fx_arbitrage
2020-07-01,52,5.71,5.55,9.371,9.106830122591944,-0.028190148053362105
2020-01-14,53,5.67,5.97,8.875,9.347442680776014,0.05323297811560724
2019-07-09,42,5.74,4.85,8.653,7.317073170731707,-0.15438886273758162
2019-01-01,50,5.58,5.86,8.533,8.960573476702509,0.0501082241535813
2018-07-01,42,5.51,5.22,8.041,7.622504537205082,-0.052045201193249346
2018-01-01,49,5.28,6.24,7.85,9.28030303030303,0.18220420768191462
2017-07-01,49,5.3,5.91,8.285,9.245283018867925,0.11590621833046766
2017-01-01,49,5.06,5.67,8.648,9.683794466403162,0.11977271813172553
2016-07-01,46.8,5.04,5.51,8.494,9.285714285714285,0.09320865148508181
2016-01-01,46.8,4.93,5.21,8.975,9.49290060851927,0.0577048031776345
2015-07-01,46,4.79,5.65,8.143,9.603340292275574,0.1793368896322698
2015-01-01,48,4.79,6.3,7.622,10.020876826722338,0.31473062538996827
2014-07-01,48,4.8,7.76,6.187,10,0.6162922256343947
2014-01-01,48,4.62,7.8,6.157,10.38961038961039,0.6874468717898959
2013-07-01,46,4.56,7.51,6.128,10.087719298245615,0.6461682927946499
2013-01-01,43,4.37,7.84,5.483,9.839816933638444,0.7946045839209273
2012-07-01,43,4.33,7.06,6.092,9.930715935334872,0.6301240865618635
2012-01-01,41,4.2,6.79,6.04,9.761904761904761,0.6162093976663512
2011-07-01,45,4.07,8.31,5.414,11.056511056511056,1.0422074356318907
2010-07-01,45,3.73,7.2,6.246,12.064343163538874,0.931531086061299
2010-01-01,40,3.58,7.02,5.696,11.1731843575419,0.9615843324336201
2009-07-01,40,3.57,6.15,6.509,11.204481792717088,0.7213829762969869
2008-06-01,40,3.57,7.88,5.079,11.204481792717088,1.2060409121317364
2007-06-01,40,3.41,6.88,5.814,11.730205278592376,1.0175791672845502
2007-01-01,41.5,3.22,6.8,6.102,12.888198757763975,1.1121269678407038
2006-05-01,43,3.1,7.05,6.102,13.870967741935484,1.2731838318478341
2005-06-01,39,3.06,6.06,6.433,12.745098039215685,0.9812059753172214
2004-05-01,35.5,2.9,5.18,6.849,12.241379310344827,0.7873235961957697
2002-04-01,35,2.49,4.09,8.56,14.056224899598392,0.6420823480839243
